Unit2,Stimulus,ID.x,Region,Trial,Letter,StimSet,base_fr,stim_fr,basesd,stimsd,Z_score,stimID,Duration.s,FamUnfamSpecies,Species,FamUnfam,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Depth,ISI.check,Peak_V,Trough_V,Peak.to.Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes,Accuracy.rcorr,Accuracy.count,Accuracy.cross_corr,normal_rcorr,normal_count,normal_cross_corr,Latency,p.value,sigYN,Peak2PeakRatio,Type0,TypeBN,TypeFL,RS_WN,pop_var_WN
A4_NCM_TRIAL3_A,3,A4,NCM,3,A,A4,1.3125,2.058823529,0.704154339,1.052267284,0.748910951,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.25,x,0.5946,-0.0333,0.00042,NA,Good,N,N,,0.144866667,0.6516,0.300533333,-0.055133333,0.4516,0.100533333,0.025,0.027871299,Y,0.056004036,Broad,Broad,NCM,0.746323529,1.024964858
A4_NCM_TRIAL4_A,3,A4,NCM,4,A,A4,0.611111111,1.862745098,0.916443823,1.691082441,0.75873127,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.35,x,0.588,-0.183,0.0004199,NA,Good,Y,N,,0.410928571,0.757428571,0.521571429,0.210928571,0.557428571,0.321571429,0.1,0.005468626,Y,0.31122449,Broad,Broad,NCM,1.251633987,2.764246658
A4_NCM_TRIAL5_A,3,A4,NCM,5,A,A4,0.583333333,1.81372549,0.668557923,1.833907562,0.816345618,WN,1.7,WN_WN,WN,WN,A,normal,21,4,12,5/17/21,20,R,1.45,x,0.531,-0.213,0.00036,NA,Good,N,N,,0.210090909,0.719454545,0.387272727,0.010090909,0.519454545,0.187272727,0.04,0.023239747,Y,0.401129944,NS2,Narrow,NCM,1.230392157,2.373390042
A5_FL_TRIAL1_A,4,A5,FL,1,A,A5,2.222222222,4.31372549,2.166666667,1.883271835,0.71937454,WN,1.7,WN_WN,WN,WN,A,normal,20,2,10.6,5/19/21,20,R,1.25,x,-0.8269,0.295,0.000599999,NA,Good,N,N,Inverted,0.3105,0.2855,0.26975,0.1105,0.0855,0.06975,0.05,0.07421875,N,0.356754142,Field L,Field L,Broad,2.091503268,8.327651758
A5_FL_TRIAL1_B,4,A5,FL,1,B,A5,0.666666667,2.352941176,0.707106781,1.583872002,1.00391005,WN,1.7,WN_WN,WN,WN,A,normal,20,2,10.6,5/19/21,20,R,1.25,x,0.759,0,0.001320188,NA,Bad,N,N,Shape is weird,0.37275,0.545375,0.459,0.17275,0.345375,0.259,0.01,0.029973974,Y,0,Field L,Field L,Broad,1.686274509,2.805074971
A5_FL_TRIAL2_A,4,A5,FL,2,A,A5,1,1.633986928,0.866025404,1.168272087,0.557839889,WN,1.7,WN_WN,WN,WN,A,normal,20,2,10.6,5/19/21,20,R,1.35,ok,-1.021,0.312,0.000539945,NA,Bad,N,N,Inverted,0.122625,0.2825,0.208375,-0.077375,0.0825,0.008375,0.03,0.234901282,N,0.305582762,Field L,Field L,Broad,0.633986928,1.356999445
A5_NCM_TRIAL1_A,4,A5,NCM,1,A,A5,0.666666667,2.222222222,1,1.783667196,0.706755948,WN,1.7,WN_WN,WN,WN,A,normal,20,2,10.6,5/19/21,20,R,1.01,ok,0.3452,-0.107,0.000240002,NA,Good,N,N,,0.113125,0.333625,0.289875,-0.086875,0.133625,0.089875,0.06,0.057584115,N,0.309965238,NS1,Narrow,NCM,1.555555555,4.719039686
A5_NCM_TRIAL2_A,4,A5,NCM,2,A,A5,0.777777778,1.37254902,1.092906421,1.139112749,0.383029744,WN,1.7,WN_WN,WN,WN,A,normal,20,2,10.6,5/19/21,20,R,1.11,x,0.4146,-0.0409,0.001259986,NA,Good,N,N,,0.246625,0.488,0.32725,0.046625,0.288,0.12725,0.16,0.284624288,N,0.098649301,Broad,Broad,NCM,0.594771242,2.389422872
B3_NCM_TRIAL1_A,5,B3,NCM,1,A,B3,1.266666667,1.725490196,0.798808637,1.286199356,0.303515039,WN,1.7,WN_WN,WN,WN,B,BEFI,33,6,8.3,7/27/21,15,R,1.08,x,0.6563,-0.0358,0.00024,NA,Good,N,N,,0.132428571,0.228714286,0.202642857,-0.067571429,0.028714286,0.002642857,0.045,0.24391301,N,0.054548225,NS1,Narrow,NCM,0.458823529,2.275524799
B4_FL_TRIAL1_A,4,B4,FL,1,A,B4,3.6,2.705882353,1.882247896,1.013990127,-0.552467993,WN,1.7,WN_WN,WN,WN,B,BEFI,30,9,13,1/11/22,15,L,0.69,x,-0.5299,0.1363,0.000765,NA,Bad,N,N,Inverted; Might not be auditory,0.203357143,0.331071429,0.223928571,0.003357143,0.131071429,0.023928571,NA,0.073427733,N,0.257218343,Field L,Field L,Broad,-0.894117647,2.729042676
