"Unit2","Stimulus","ID.x","Region","Trial","Letter","StimSet","base_fr","stim_fr","basesd","stimsd","Z_score","stimID","Duration.s","FamUnfamSpecies","Species","FamUnfam","Clutch","Treatment","Age","DaysPostFledge","Mass","Date","No_reps","Hemisphere","Depth","ISI.check","Peak_V","Trough_V","Peak.to.Peak_s","Type","Quality","Exclude4PC","TroughBeforePeak","Notes","Accuracy.rcorr","Accuracy.count","Accuracy.cross_corr","normal_rcorr","normal_count","normal_cross_corr","Latency","p.value","sigYN","Peak2PeakRatio","Type0","TypeBN","TypeFL","RS_befi","pop_var_befi","RS_zebi","pop_var_zebi","dprime"
"A4_FL_TRIAL5_A",2,"A4","FL",5,"A","A4",2.909090909,5.286561265,1.375103302,1.538934469,1.17142902,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.35,"ok",-1.028,0.5,0.00018,NA,"Bad","N","N","Inverted; Lost spot after 640s",0.211857143,0.172714286,0.18,0.011857143,-0.027285714,-0.02,0.15,0.002929688,"Y",0.486381323,"Field L","Field L","Narrow",2.377470356,4.09660360258751,3.255707762,9.91315860731362,0.46927405558944
"A4_NCM_TRIAL1_A",2,"A4","NCM",1,"A","A4",0.947368421,3.97597254,1.129094239,1.281664574,2.86886587,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.06,"x",0.6942,0.0843,0.000240001,NA,"Bad","N","N","Weird double peak",0.350705882,0.226764706,0.379352941,0.150705882,0.026764706,0.179352941,0.02,0.00014103,"Y",0.121434745,"NS1","Narrow","NCM",3.028604119,1.20127612326028,4.077144917,5.00333252007953,0.841895391352325
"A4_NCM_TRIAL1_B",2,"A4","NCM",1,"B","A4",1.157894737,5.463386728,1.25888654,2.258860272,1.598951591,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.06,"x",-0.832,0.002,0.001,NA,"Bad","N","N","Inverted, horrible shape",0.684529412,0.338764706,0.648823529,0.484529412,0.138764706,0.448823529,0.095,0.000270227,"Y",0.002403846,"Broad","Broad","NCM",4.305491991,7.2024412335677,2.657534247,2.98754580214906,-1.03249807707334
"A4_NCM_TRIAL3_A",2,"A4","NCM",3,"A","A4",1.1,6.630434783,1.209610638,1.492027698,2.99344756,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.25,"x",0.5946,-0.0333,0.00042,NA,"Good","N","N","",0.524066667,0.519866667,0.437866667,0.324066667,0.319866667,0.237866667,0.07,9.49e-05,"Y",0.056004036,"Broad","Broad","NCM",5.530434783,3.41788279727669,5.428262437,9.5191720020319,-0.0568127291422896
"A4_NCM_TRIAL4_A",2,"A4","NCM",4,"A","A4",1.0625,6.861413044,1.181453907,3.407771938,2.259139373,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.35,"x",0.588,-0.183,0.0004199,NA,"Good","Y","N","",0.390142857,0.352428571,0.396642857,0.190142857,0.152428571,0.196642857,0.01,0.000481351,"Y",0.31122449,"Broad","Broad","NCM",5.798913044,6.939242676993,7.141821111,13.2492122153745,0.597757092000469
"A4_NCM_TRIAL5_A",2,"A4","NCM",5,"A","A4",0.823529412,5.722506394,1.074435556,2.25000695,2.107467968,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",21,4,12,"5/17/21",20,"R",1.45,"x",0.531,-0.213,0.00036,NA,"Good","N","N","",0.337272727,0.185272727,0.321727273,0.137272727,-0.014727273,0.121727273,0.07,0.000319807,"Y",0.401129944,"NS2","Narrow","NCM",4.898976982,5.42999784108546,6.085996956,5.02407801322353,0.734252102974856
"A5_FL_TRIAL1_A",1,"A5","FL",1,"A","A5",1.95,3.214285714,1.791059669,1.772507554,0.629028021,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,2,10.6,"5/19/21",20,"R",1.25,"x",-0.8269,0.295,0.000599999,NA,"Good","N","N","Inverted",0.149,0.367,0.179625,-0.051,0.167,-0.020375,0.125,0.014456483,"Y",0.356754142,"Field L","Field L","Broad",1.264285714,4.13933673456612,3.12181894,8.48524742837104,1.0455818732697
"A5_FL_TRIAL1_B",1,"A5","FL",1,"B","A5",1.5,4.321428571,1.762175689,2.311357564,1.264294309,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,2,10.6,"5/19/21",20,"R",1.25,"x",0.759,0,0.001320188,NA,"Bad","N","N","Shape is weird",0.646125,0.4755,0.691625,0.446125,0.2755,0.491625,0.08,0.000417355,"Y",0,"Field L","Field L","Broad",2.821428571,5.13239795801633,5.049228202,4.15951659610917,1.46168408923055
"A5_FL_TRIAL2_A",1,"A5","FL",2,"A","A5",1,3.681318681,1,2.038034473,1.945226841,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,2,10.6,"5/19/21",20,"R",1.35,"ok",-1.021,0.312,0.000539945,NA,"Bad","N","N","Inverted",0.4295,0.13975,0.3675,0.2295,-0.06025,0.1675,0.1,0.001656248,"Y",0.305582762,"Field L","Field L","Broad",2.681318681,2.11979229589832,1.192034915,3.04001471512855,-1.31126576308168
"A5_NCM_TRIAL1_A",1,"A5","NCM",1,"A","A5",0.736842105,3.909774436,0.991189256,2.986823113,0.996087671,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,2,10.6,"5/19/21",20,"R",1.01,"ok",0.3452,-0.107,0.000240002,NA,"Good","N","N","",0.34275,0.14925,0.24,0.14275,-0.05075,0.04,0.17,0.001085253,"Y",0.309965238,"NS1","Narrow","NCM",3.172932331,10.1065068701912,3.409827761,6.42916911589954,0.116513353276024
"A5_NCM_TRIAL2_A",1,"A5","NCM",2,"A","A5",1,5.274725275,2.768874621,3.120843652,1.735431587,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,2,10.6,"5/19/21",20,"R",1.11,"x",0.4146,-0.0409,0.001259986,NA,"Good","N","N","",0.37425,0.256125,0.474625,0.17425,0.056125,0.274625,0.135,0.001634576,"Y",0.098649301,"Broad","Broad","NCM",4.274725275,6.8366139348755,4.705946536,4.73968276931932,0.253480955895435
"B3_NCM_TRIAL1_A",1,"B3","NCM",1,"A","B3",0.666666667,2.898550725,0.975900073,1.774992567,1.114465363,"DB10",1.84,"Unfamiliar_BEFI","BEFI","Unfamiliar","B","BEFI",33,6,8.3,"7/27/21",15,"R",1.08,"x",0.6563,-0.0358,0.00024,NA,"Good","N","N","",0.352214286,0.205857143,0.290857143,0.152214286,0.005857143,0.090857143,0.03,0.004889127,"Y",0.054548225,"NS1","Narrow","NCM",2.231884058,3.99852972044776,0.835075493,1.5735882295315,-1.18346858621964
"B4_FL_TRIAL1_A",5,"B4","FL",1,"A","B4",3.066666667,4.047619048,1.334523279,2.204333571,0.531351549,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","B","BEFI",30,9,13,"1/11/22",15,"L",0.69,"x",-0.5299,0.1363,0.000765,NA,"Bad","N","N","Inverted; Might not be auditory",0.208571429,0.152928571,0.2315,0.008571429,-0.047071429,0.0315,0.03,0.111624256,"N",0.257218343,"Field L","Field L","Broad",0.980952381,3.5941950113834,-0.395959596,1.97728395063093,-1.16667777798285
"B4_FL_TRIAL2_B",5,"B4","FL",2,"B","B4",5.909090909,9.935064935,3.67299729,2.9872953,1.355716821,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","B","BEFI",30,9,13,"1/11/22",15,"L",0.89,"x",-0.577,0.378,0.00024,NA,"Good","Y","N","Inverted, Drifts into spot around 200s, not really there before this (cut out first 200s for both units)",0.448,0.3732,0.4518,0.248,0.1732,0.2518,0.135,0.002929688,"Y",0.655112652,"Field L","Field L","Narrow",4.025974026,9.8694552198057,4.73737374,28.2265585235324,0.230517507223598
"B4_FL_TRIAL3_A",5,"B4","FL",3,"A","B4",1.266666667,7.904761905,1.709915063,4.537394568,1.641199821,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","B","BEFI",30,9,13,"1/11/22",15,"R",1.14,"ok",-0.4909,0.0884,0.00048,NA,"Bad","Y","N","Inverted; Lost sweet spot after 250s but keep whole trial",0.36525,0.17775,0.3295,0.16525,-0.02225,0.1295,0.085,0.00012207,"Y",0.180077409,"Field L","Field L","Broad",6.638095238,16.731609978964,5.341991343,10.8857967458149,-0.493262799544776
"B4_FL_TRIAL3_B",5,"B4","FL",3,"B","B4",0.533333333,3.714285714,0.743223353,2.146255808,1.578724247,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","B","BEFI",30,9,13,"1/11/22",15,"R",1.14,"ok",0.4589,0,0.0015,NA,"Bad","Y","N","Fat and ugly; Lost sweet spot after 250s but keep whole trial",0.662916667,0.372666667,0.720416667,0.462916667,0.172666667,0.520416667,0.165,0.001355471,"Y",0,"Field L","Field L","Broad",3.180952381,4.1101133785444,3.365800866,7.46903637528892,0.10864445252537
"B4_FL_TRIAL4_A",5,"B4","FL",4,"A","B4",1.6,4.285714286,1.183215957,1.66423535,1.265503184,"YE77",1.4,"Unfamiliar_BEFI","BEFI","Unfamiliar","B","BEFI",30,9,13,"1/11/22",15,"R",1.27,"x",-0.4791,0.1626,0.00048,NA,"Good","N","N","Inverted",0.301,0.254,0.304461538,0.101,0.054,0.104461538,0.205,0.001329052,"Y",0.339386349,"Field L","Field L","Broad",2.685714286,4.46312925228789,2.11038961,6.25732744863575,-0.351427994146315
